symbol,company_name,sector,industry,country,market_cap,net_income,total_revenue,return_on_assets,return_on_equity,profit_margins,pe_trailing,pe_forward,earnings_growth,price_to_sales,price_to_book,revenue_growth,debt_to_equity,dividend_yield,payout_ratio,free_cashflow
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,United States,5699002368.0,434711008.0,1172459008.0,0.01592,0.109969996,0.37077,13.316038,11.82349,0.283,4.8607264,1.3919661,0.128,,0.94,0.1258,
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,1587952000.0,-143956000.0,79208000.0,-0.09993,-0.14681,-1.81744,,-7.222222,,20.047874,1.6850291,0.963,14.317,,0.0,-105397248.0
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49832620032.0,15577716736.0,88209571840.0,0.09784,0.17251,0.1766,16.0,14.274244,0.024,0.5649344,2.776781,-0.001,3.42,4.83,0.8049,18203940864.0
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,3495121152.0,547699968.0,17963499520.0,0.055019997,0.14498,0.03049,6.63556,6.3435016,0.471,0.19456795,0.88880473,-0.009,138.074,,0.0,487687488.0
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,United States,2352433920.0,157600000.0,8874500096.0,0.03845,0.08997,0.017760001,15.822834,9.250501,-0.072,0.26507792,1.3657988,0.061,100.835,2.89,0.42720002,263262496.0
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,78550376448.0,2516999936.0,12647000064.0,0.06245,0.32325,0.19902,32.679012,21.894419,0.06,6.210989,10.312452,0.179,33.185,,0.0,3191000064.0
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,United States,1161520128.0,77618000.0,530420992.0,0.00894,0.041079998,0.22433001,13.925,8.288691,-0.98,2.189808,0.4791398,-0.103,383.271,19.21,3.0,
ABSI,Absci Corporation,Healthcare,Biotechnology,United States,795115776.0,-118436000.0,1836000.0,-0.37331,-0.63887,0.0,,-8.188168,,433.06958,4.607046,-0.818,2.567,,0.0,-41475376.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,152251891712.0,6252000256.0,45134000128.0,0.0559,0.123339996,0.13904999,24.484596,14.414697,-0.197,3.3733304,2.9244874,0.078,64.773,2.88,0.67230004,6341125120.0
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,United States,859289024.0,160720000.0,191444992.0,0.49183,0.94727,0.83950996,5.240964,-26.318459,,4.488438,3.29296,100.545,1.502,,0.0,-90406624.0
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,United States,5928386048.0,219700000.0,2907500032.0,0.03999,0.08619001,0.07656,27.013424,23.91326,0.578,2.0389977,2.248687,0.044,59.551,0.17,0.044699997,55275000.0
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,United States,3613076992.0,375649984.0,1095250048.0,0.03694,0.37317002,0.34298,9.547511,23.629013,-0.818,3.2988603,2.8923922,0.097,4.07,,0.0,154138624.0
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,United States,352424768.0,73900000.0,1551000064.0,0.03019,0.1149,0.04765,4.897436,3.9930174,,,0.51838785,0.083,143.884,7.85,0.38459998,48462500.0
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,United States,1293583360.0,-440400000.0,1791100032.0,-0.04671,-0.44099,-0.24287,,-11.394423,,0.7222284,2.0955453,-0.251,154.256,,0.0,155962496.0
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,948227200.0,51504000.0,1358605952.0,0.06899,0.1902,0.03791,19.416666,11.948717,0.0,0.6979413,3.4901137,0.085,213.182,,0.0,34999000.0
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,33646219264.0,4832000000.0,19776999424.0,0.045679998,0.21305999,0.24635,7.4076924,9.725809,0.946,1.7012802,1.4491227,-0.033,11.282,,0.0,5276125184.0
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,United States,2131795584.0,-1107041024.0,3371066112.0,0.04204,-0.41050997,-0.32839,,13.364159,-0.496,0.63238025,1.0743419,0.076,124.183,,0.0,-216916256.0
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,4851821056.0,-742499968.0,1900000.0,-0.29594,-0.48047,0.0,,-6.711976,,2553.59,2.3177843,,5.857,,0.0,-417224992.0
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,United States,481470976.0,-51989000.0,,-1.08432,-4.9614897,0.0,,-10.113208,,,23.333334,,140.026,,0.0,-26947124.0
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,8016409600.0,217400000.0,83172499456.0,0.04137,0.08326,0.00261,40.524998,6.584907,,0.09638294,4.409684,0.077,833.074,4.19,1.5,1525537536.0
ACIC,American Coastal Insurance Corporation,Financial Services,Insurance - Property & Casualty,United States,523411712.0,106338000.0,334460992.0,0.085880004,0.35889998,0.31317,5.0467286,9.0,-0.099,1.5649409,1.5544041,-0.014,45.979,,0.0,-18018500.0
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,United States,4342982144.0,206094000.0,1790966016.0,0.06801,0.13817,0.11507,21.575758,11.146771,-0.327,2.4249384,2.8857067,0.079,56.975,,0.0,261643248.0
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,United States,4823377920.0,100873000.0,845441024.0,0.04517,0.097370006,0.11931,48.739132,33.85246,-0.659,5.705162,4.6171045,0.033,6.749,,0.0,49110624.0
ACLX,Arcellx Inc,Healthcare,Biotechnology,United States,6732325376.0,-228934000.0,22286000.0,-0.24052,-0.53418,0.0,,-77.73529,,302.08765,16.566368,-0.892,12.904,,0.0,-97093872.0
ACM,AECOM,Industrials,Engineering & Construction,United States,9258790912.0,631345984.0,15985833984.0,0.056789998,0.28608,0.03164,15.039666,10.731273,0.285,0.5791872,4.0675287,0.008,135.206,1.58,0.23799999,443983136.0
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,United States,5069180928.0,91005000.0,960225024.0,0.02996,0.07602,0.09477,55.992367,32.551823,-0.187,5.2791595,3.070965,0.342,16.178,,0.0,-142420128.0
ACN,Accenture plc,Technology,Information Technology Services,Ireland,110310596608.0,7648264192.0,72110325760.0,0.11163,0.24763,0.10606,14.679771,12.023334,0.04,1.5297476,3.5309877,0.083,25.469,3.64,0.5098,12164313088.0
ACNB,ACNB Corporation,Financial Services,Banks - Regional,United States,556045824.0,51026000.0,158856000.0,0.0156,0.12562001,0.32121,11.000001,9.977096,,3.5003138,1.323015,0.427,,3.09,0.2909,
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,United States,265199728.0,-19852000.0,54712000.0,-0.011829999,-0.03838,-0.36285,,8.535714,,4.847195,0.5370787,-0.886,258.243,12.55,22.666698,
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,United States,74903024.0,-77267000.0,,-0.36224,-0.60387003,0.0,,-0.8974359,,,0.49226442,,2.528,,0.0,-39282248.0
ACT,"Enact Holdings, Inc.",Financial Services,Insurance - Specialty,United States,5965139968.0,676238016.0,1241120000.0,0.08328,0.12926,0.54486,9.248918,8.587115,0.093,4.806256,1.1218756,0.017,13.939,2.04,0.18180001,590830016.0
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,United States,450105344.0,-18346000.0,215048992.0,-0.032309998,-0.02911,-0.085310005,,-8.792453,,2.0930362,0.85160816,-0.564,18.205,,0.0,34659876.0
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,United States,160644736.0,9516421.0,202884816.0,0.049000002,0.084589995,0.04691,18.172415,18.821428,-0.415,0.79180264,1.3645779,0.138,42.32,1.52,0.2759,410684.0
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,United States,1038780096.0,-62216000.0,781100992.0,-0.02454,-0.14294,-0.07965,,17.25638,,1.3298922,2.4040403,0.118,57.087,,0.0,3581625.0
ADBE,Adobe Inc.,Technology,Software - Application,United States,98931990528.0,7208000000.0,24452999168.0,0.18905,0.58774,0.29477,14.263403,9.276124,0.111,4.045802,8.691761,0.12,58.34,,0.0,9321374720.0
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,United States,9089192960.0,211530000.0,750044992.0,0.02386,0.03704,0.29252002,40.78919,38.563354,0.19,12.118197,1.4922775,0.187,59.607,4.25,1.68,444884000.0
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland,431178048.0,-136988992.0,79175000.0,-0.22733,,-1.73021,,-2.275168,,5.445886,-1.9917744,-0.095,,,0.0,-74853000.0
ADEA,Adeia Inc.,Technology,Software - Application,United States,2962490368.0,122034000.0,460488000.0,0.12672,0.28511,0.26501,24.642202,17.34862,1.0,6.4333715,6.3468814,0.195,85.81,0.74,0.1835,171500496.0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,193407647744.0,3313432064.0,12740193280.0,0.054899998,0.09639,0.26007998,59.175858,26.965614,1.105,15.180903,5.731959,0.372,25.81,1.11,0.6057,3868954624.0
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,37361266688.0,1080999936.0,80583999488.0,0.01669,0.047659997,0.013409999,34.60714,14.931524,0.009,0.46363133,1.6385195,0.016,46.128,2.68,0.9152,1578499968.0
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,United States,1909807104.0,165354000.0,509864000.0,0.21992001,0.43300998,0.32431,12.117646,7.798083,,3.7457187,4.904762,0.159,110.673,,0.0,58354124.0
ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,1692160768.0,59000000.0,14938000384.0,0.03128,0.06816,0.0039500003,33.2,6.44485,,0.11327893,0.98782384,0.07,126.533,,0.0,323249984.0
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,United States,90064125952.0,4345600000.0,21600399360.0,0.05949,0.71208,0.20118,21.017723,18.477968,0.105,4.1695585,14.214245,0.07,69.259,3.02,0.6045,4749387264.0
ADPT,Adaptive Biotechnologies Corporation,Healthcare,Diagnostics & Research,United States,2221416192.0,-49680000.0,295407008.0,-0.057439998,-0.23955,-0.16816999,,-53.978374,,7.5198493,10.243543,0.351,92.838,,0.0,16102625.0
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,50883895296.0,1124000000.0,7206000128.0,0.096999995,0.39675,0.15597999,46.078396,17.076847,0.063,7.061323,16.778528,0.194,89.787,,0.0,2787000064.0
ADT,ADT Inc.,Industrials,Security & Protection Services,United States,5301042688.0,627392000.0,5139644928.0,0.05278,0.16916999,0.12142,9.171053,7.1971416,0.264,1.0314025,1.4621354,0.009,204.431,3.16,0.2895,987817280.0
ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,United States,1269240192.0,-31321000.0,1122148992.0,-0.00241,-0.04936,-0.03182,,20.464666,,1.1310799,9.179848,0.155,48.044,,0.0,45972500.0
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,United States,1729291520.0,99751000.0,1448433024.0,0.06303,0.09448,0.06887,17.094095,12.398149,0.172,1.1939051,1.517708,0.077,12.43,,0.0,102889504.0
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,United States,562523328.0,-243436000.0,3590450944.0,0.022739999,-0.41485,-0.0678,,4.5299788,,0.15667206,1.1577824,0.058,323.591,,0.0,212923248.0
ADVM,,,,,,,,,,,,,,,,,,,,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,30799687680.0,1524000000.0,8544999936.0,0.03086,0.117469996,0.17834999,20.016188,19.171999,0.196,3.6044104,2.2715952,0.037,155.674,2.7,0.518,-1869374976.0
AEHR,"Aehr Test Systems, Inc.",Technology,Semiconductor Equipment & Materials,United States,2988688128.0,-11416000.0,45255000.0,-0.06103,-0.08681,-0.25226,,633.4666,,66.04106,21.190899,-0.437,7.223,,0.0,-7451625.0
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,United States,12997861376.0,191700000.0,1905200000.0,0.05957,0.14663,0.099989995,67.53846,27.630539,1.448,6.822308,8.916886,0.263,49.343,0.12,0.0832,49237500.0
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,87961370624.0,5342191104.0,13539191808.0,0.15502,0.22298001,0.39457,16.564032,12.130428,1.086,6.496796,3.3477335,0.661,1.215,1.02,0.1554,4282917376.0
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,United States,2769220352.0,191983008.0,5547235840.0,0.05301,0.10729,0.03461,15.165138,8.341913,-0.065,0.49920726,1.649536,0.129,102.996,3.02,0.4587,97716128.0
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,71598776320.0,3654000128.0,22432999424.0,0.031689998,0.12585,0.16289,19.465975,19.189152,0.067,3.191672,2.2504404,0.102,157.099,2.89,0.55619997,-6953449984.0
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland,21858308096.0,3925881088.0,8681363456.0,0.041840002,0.22062,0.45222,6.085162,8.142545,0.425,2.5178428,1.1881069,0.079,234.407,1.15,0.0531,-909374976.0
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,10469154816.0,1380000000.0,12487000064.0,0.027139999,0.052600004,0.10819,7.6458335,6.145371,9.511,0.8384043,2.368506,0.087,259.603,4.79,0.3666,-2964999936.0
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,United States,2381949440.0,-98787000.0,1063302016.0,-0.01812,-0.07999,-0.09291001,,52.008617,,2.2401438,2.0378287,-0.108,59.25,5.24,8.083301,70031376.0
AETUF,ARC Resources Ltd.,Energy,Oil & Gas E&P,Canada,12870688768.0,1454700032.0,6396299776.0,0.08748,0.17412001,0.22743,12.369565,12.957523,0.494,2.0122085,2.0552104,0.196,43.61,2.7,0.31620002,890950016.0
AEVA,"Aeva Technologies, Inc.",Technology,Software - Infrastructure,United States,1596193536.0,-145540000.0,20973000.0,-0.63164,-5.1607203,0.0,,-16.441559,,76.10707,-128.52792,0.859,,,0.0,-67766248.0
AEYE,"AudioEye, Inc.",Technology,Software - Application,United States,90577256.0,-3722000.0,41131000.0,-0.07646,-0.66912,-0.09049,,6.4444447,,2.2021651,28.32031,0.084,532.966,,0.0,7125750.0
AFCG,Advanced Flower Capital Inc.,Financial Services,Asset Management,United States,85056768.0,-13568330.0,2717172.0,-0.03716,-0.06887,0.0,,4.44469,1.715,31.303417,0.4577688,0.101,108.949,16.04,1.5222,
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,11357036544.0,879000000.0,7946999808.0,0.02454,0.19383,0.11061,12.981008,11.338863,0.246,1.4290974,2.427757,0.003,43.523,2.58,0.3191,299875008.0
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,59988959232.0,4636000256.0,18112000000.0,0.03088,0.16469,0.25596002,13.469714,15.500369,38.6,3.3121114,2.0083153,0.279,48.276,2.07,0.26860002,4923125248.0
AFRM,"Affirm Holdings, Inc.",Financial Services,Credit Services,United States,21842083840.0,382424000.0,3971538944.0,0.017380001,0.114870004,0.09629,59.29091,17.10388,35.293,5.4996524,5.7721925,0.326,240.279,,0.0,301085376.0
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,9603818496.0,290758016.0,1489883008.0,0.07976,0.11452,0.19514999,32.966103,17.60181,50.687,6.446022,3.3168488,0.954,9.466,0.18,0.038599998,648195648.0
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,United States,8170577920.0,771000000.0,10374400000.0,0.03815,0.17531,0.07432,10.881389,13.910617,4.419,0.78757113,1.901552,0.143,59.71,1.06,0.111899994,695812480.0
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,16101474304.0,1062000000.0,2072499968.0,0.120299995,0.25885,0.51242,15.2749,11.4928055,11.447,7.7691073,3.4943492,0.792,4.768,0.3,0.0458,153624992.0
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,1673531008.0,-422603008.0,66048000.0,-0.2169,-0.32814997,0.0,,-6.1140685,,25.338102,1.5056179,1.377,3.223,,0.0,-267222000.0
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,United States,1441312256.0,-373543008.0,5820254208.0,-0.14158,-1.09594,-0.06092,,-138.54097,3.01,0.24763733,7.906828,-0.073,18.409,,0.0,-104212128.0
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,United States,1926890496.0,190340000.0,385307008.0,0.0063300002,0.13377,0.56289,10.236887,8.31897,0.185,5.0009227,1.5936867,0.142,2012.66,3.49,0.3514,
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,United States,11720356864.0,1302000000.0,1604999936.0,0.013710001,0.13248,0.91713,7.9765625,6.7457747,,7.3024035,1.1474489,,722.896,14.12,1.125,
AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty,Bermuda,3404878592.0,411000000.0,814000000.0,0.01501,0.07896,0.50983,8.807561,10.03558,-0.445,4.1828976,0.6183552,-0.062,30.643,1.98,0.1604,184750000.0
AGPXX,Short-Term Investment Trust - Invesco Government & Agency Portfolio,,,,,,,,,,,,,,,,,,,
AGR,,,,,,,,,,,,,,,,,,,,
AGS,,,,,,,,,,,,,,,,,,,,
AGX,"Argan, Inc.",Industrials,Engineering & Construction,United States,9162950656.0,137774000.0,944606016.0,0.08325,0.33846,0.14585,67.59526,43.989605,0.558,9.700288,19.80836,0.127,1.382,0.3,0.17969999,340947136.0
AGYS,"Agilysys, Inc.",Technology,Software - Application,United States,2248823552.0,38791000.0,319312000.0,0.04679,0.1309,0.121479996,58.27737,25.039436,2.129,7.0427155,7.1451583,0.117,5.828,,0.0,49008124.0
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,United States,1421765760.0,-79627000.0,3286774016.0,0.02636,-0.048460003,-0.024230001,,8.899903,,0.4325718,0.9227373,0.054,132.105,,0.0,267899632.0
AHR,"American Healthcare REIT, Inc.",Real Estate,REIT - Healthcare Facilities,United States,9672732672.0,100322000.0,2370967040.0,0.02113,0.0349,0.04231,85.067795,61.207317,,4.079657,2.7381341,0.209,47.614,1.99,1.6949,358525632.0
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,United States,1349755392.0,-434502016.0,307391008.0,-0.29877,-0.55012,-1.4135201,,-11.061499,,4.391005,1.8617235,-0.461,8.374,,0.0,11594375.0
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,United States,40852389888.0,3160999936.0,26701000704.0,0.01885,0.07723,0.118389994,13.565142,8.663047,0.216,1.5299947,1.0162227,0.014,22.647,2.6,0.3169,9517249536.0
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,United States,1761693952.0,-59416000.0,1205372032.0,-0.00944,-0.07175,-0.049289998,,20.769678,-0.036,1.4615355,2.415254,0.078,64.832,1.8,0.5323,33458876.0
AIOT,"PowerFleet, Inc.",Technology,Software - Infrastructure,United States,457442240.0,-30325000.0,432924992.0,0.01667,-0.06426,-0.07005,,17.714287,,1.0566317,0.93758595,0.066,59.765,,0.0,36300124.0
AIP,"Arteris, Inc.",Technology,Semiconductors,United States,1675119488.0,-34584000.0,76983000.0,-0.17919001,,-0.44924,,226.75,,21.759604,647.8571,0.387,260.131,,0.0,20365000.0
AIR,AAR Corp.,Industrials,Aerospace & Defense,United States,4310844416.0,171000000.0,3134500096.0,0.055999998,0.121020004,0.05455,23.826374,19.192469,,1.3752893,2.587783,0.246,59.614,,0.0,27900000.0
AIRS,"AirSculpt Technologies, Inc.",Healthcare,Medical Care Facilities,United States,376008480.0,-11217000.0,151836000.0,-0.01596,-0.12632,-0.07388,,-266.5,,2.4764118,3.7508795,0.0,70.831,,0.0,13016375.0
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,United States,11350275072.0,403760992.0,4838729216.0,0.10786,0.21899,0.08344,28.999056,26.050657,0.031,2.345714,6.1178956,0.073,19.639,0.66,0.17860001,332143872.0
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,United States,609950144.0,-4060000.0,138486000.0,-0.01551,0.096499994,4.00047,22.315788,-9.422222,,4.4044175,1.6421378,-0.039,157.477,,0.0,-36260124.0
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,12625728512.0,991600000.0,13160399872.0,0.024360001,0.18016,0.076,13.054303,11.341065,0.912,0.9593727,2.1564763,0.113,37.61,1.38,0.1722,2029737472.0
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,52608876544.0,1612000000.0,14197999616.0,0.0228,0.07007,0.11354,33.13107,13.787758,0.162,3.7053723,2.2124133,0.346,56.18,1.37,0.42880002,1080225024.0
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,United States,21405100032.0,435179008.0,4266646016.0,0.03393,0.091680005,0.102,49.739864,20.527643,-0.134,5.0168447,4.365474,0.058,119.534,,0.0,700723392.0
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,273623392.0,-20511000.0,232404000.0,0.02016,-0.78955,-0.08826,,-5.368421,,1.1773609,10.0,-0.066,721.549,,0.0,65809876.0
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,United States,3183298560.0,39305000.0,402239008.0,0.00993,0.04077,0.11378,70.83871,79.85454,20.603,7.913948,1.2875988,-0.012,62.564,3.64,2.5806,154237744.0
AL,Air Lease Corp,Industrials,Rental & Leasing Services,United States,7282301440.0,1044062016.0,3015749120.0,0.029760001,0.136,0.3609,6.996771,7.624463,0.809,2.414757,0.8594928,0.151,232.866,0.0135,0.0947,162545120.0
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,United States,52601667584.0,267624992.0,1001443968.0,0.10067,0.21110001,0.26724002,208.7619,72.95047,1.444,52.52582,35.18459,0.934,2.801,,0.0,240004880.0
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,20235227136.0,-399635008.0,5494582784.0,0.01605,-0.0182,-0.042379998,,14.754328,,3.6827595,2.6561606,0.327,19.845,0.94,0.5797,716711744.0
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,33056305152.0,819000000.0,10634000384.0,0.02469,0.037100002,0.077020004,40.586826,17.097767,-0.446,3.1085484,1.4936094,0.094,23.774,0.53,0.2039,1191750016.0
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,United States,306368480.0,-18882000.0,16419000.0,0.22399001,-0.15793,-1.15001,,-22.95,,18.659388,3.0067692,-0.703,79.77,0.49,0.2198,62064376.0
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,United States,93497656.0,-27369780.0,,-0.22219999,-0.51761,0.0,,-7.7499995,,,2.2174535,,36.798,,0.0,-19602224.0
ALEC,"Alector, Inc.",Healthcare,Biotechnology,United States,245365664.0,-125388000.0,18417000.0,-0.25707,-2.38852,0.0,,-3.1571429,,13.322782,23.51064,-0.715,332.768,,0.0,-119106128.0
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,United States,1825494912.0,101185000.0,1629913984.0,0.057740003,0.09075,0.062080003,17.944977,12.468418,-0.087,1.1199946,1.5373107,0.067,26.239,0.85,0.14829999,57927876.0
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,United States,8556919296.0,-14897000.0,890096000.0,0.016929999,-0.0155299995,-0.01674,,31.203314,,9.613479,8.920598,0.261,31.984,,0.0,149962128.0
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,United States,11717441536.0,429892000.0,4095789056.0,0.073309995,0.10824,0.10496,27.451342,13.217795,0.239,2.8608508,2.823832,0.062,2.797,,0.0,538981504.0
ALGT,Allegiant Travel Company,Industrials,Airlines,United States,2158325504.0,-34064000.0,2639937024.0,0.0256,-0.03108,-0.012999999,,8.071673,0.326,0.81756705,1.3390802,0.048,169.13,,0.0,-27643624.0
ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,United States,3380098048.0,19806000.0,4256984064.0,0.021140002,0.12531,0.00465,163.5,22.629757,,0.79401237,16.333666,0.333,159.492,,0.0,234584992.0
ALIT,"Alight, Inc.",Technology,Software - Application,United States,447726944.0,-3078000128.0,2248000000.0,0.00765,-1.17066,-1.375,,2.7870529,,0.19916679,0.41948718,-0.026,205.539,16.84,0.0,140124992.0
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,United States,4606473728.0,73000000.0,14401999872.0,0.01281,0.01856,0.0050700004,84.36735,6.554954,,0.31984958,1.2338824,0.052,178.719,,0.0,-316500000.0
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,6133669376.0,152720000.0,1562300032.0,0.047199998,0.0936,0.09774999,40.88889,15.627255,,3.926051,3.4974337,0.282,90.302,,0.0,140551632.0
ALKT,"Alkami Technology, Inc.",Technology,Software - Application,United States,1797922048.0,-49799000.0,471942016.0,-0.03186,-0.14133,-0.10552,,14.795114,,3.809625,4.8512845,0.289,96.643,,0.0,65511248.0
